type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
583594182,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028351189GAJn5Yw5L6fb0apZ,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594182,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028350015JNN8GZeAKJcZPobb,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594182,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028350397qLZdFCYyJiTOWhEw,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594173,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028301987YGUnfahOWyDBxseM,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594173,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028301653pMk2JCBHLfMeMAjk,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594173,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028302317APRJMdd0rPWMhG5X,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
583594173,StillImage,image/jpeg,http://mediaphoto.mnhn.fr/media/1406028302676GZRqvM7JiMkQFjdf,,,,,,,Hautecoeur M.,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,
5830843516,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/549307733/original.jpg,https://www.inaturalist.org/photos/549307733,,,,,2025-08-08T01:16:38Z,andres_piedrahita,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,andres_piedrahita
5759576901,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/247288674/original.jpg,https://www.inaturalist.org/photos/247288674,,,,,2022-10-22T12:28:00Z,domeacosta_,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,domeacosta_
5007512687,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458036394/original.jpg,https://www.inaturalist.org/photos/458036394,,,,,2023-03-05T07:06:31Z,Frederic Griesbaum,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Frederic Griesbaum
